rank,time,PB,name,date,competition
1,10.4,FALSE,Leon Reid,14/08/2019,Men
2,10.43,TRUE,Aaron Sexton,01/06/2019,Men
3,10.51,FALSE,Jason Smyth,06/08/2019,Men
4,10.54,TRUE,Stephen Gaffney,14/08/2019,Men
5,10.55,TRUE,Eanna Madden,08/06/2019,Men
6,10.56,FALSE,Marcus Lawler,25/05/2019,Men
6,10.56,TRUE,Conor Morey,29/06/2019,Men
8,10.6,TRUE,Mark Smyth,26/07/2019,Men
9,10.63,TRUE,Joseph Ojewumi,10/06/2019,Men
9,10.63,TRUE,Israel Olatunde,29/06/2019,Men
11,10.65,TRUE,Tope Adeyeye,14/08/2019,Men
12,10.66,FALSE,Jeremy Phillips,05/05/2019,Men
13,10.71,FALSE,David Murphy,10/06/2019,Men
14,10.73,FALSE,Dean Adams,26/07/2019,Men
15,10.74,TRUE,Craig Newell,26/07/2019,Men
16,10.75,TRUE,Sean O'Driscoll,30/05/2019,Men
17,10.77,FALSE,Michael McAuley,26/07/2019,Men
18,10.78,TRUE,Oliver Swinney,14/08/2019,Men
19,10.81,TRUE,John Grant,01/06/2019,Men
1,11.33,TRUE,Ciara Neville,27/07/2019,Women
2,11.45,TRUE,Gina Akpe-Moses,01/06/2019,Women
3,11.51,FALSE,Phil Healy,06/04/2019,Women
4,11.58,TRUE,Molly Scott,27/07/2019,Women
5,11.59,FALSE,Joan Healy,27/07/2019,Women
6,11.61,FALSE,Patience Jumbo-Gula,27/07/2019,Women
7,11.64,FALSE,Amy Foster,26/01/2019,Women
8,11.69,FALSE,Rhasidat Adeleke,19/05/2019,Women
9,11.74,FALSE,Niamh Whelan,20/07/2019,Women
9,11.74,TRUE,Sarah Lavin,01/08/2019,Women
11,11.78,TRUE,Sarah Quinn,25/05/2019,Women
12,11.83,TRUE,Kate Doherty,11/05/2019,Women
13,11.89,TRUE,Adeyemi Talabi,29/06/2019,Women
14,11.9,TRUE,Sophie Becker,11/05/2019,Women
15,11.91,TRUE,Aoife Lynch,27/07/2019,Women
16,11.99,TRUE,Roisin Harrison,11/05/2019,Women
16,11.99,TRUE,Lauren Cadden,01/06/2019,Women
18,12.01,FALSE,Catherine McManus,11/05/2019,Women
19,12.03,FALSE,Lauren Roy,27/07/2019,Women
20,12.11,TRUE,Alannah McGuiness,01/06/2019,Women