Rank,County,Area (km²),Density (/ km²),Province,Population
1,Cork,7500,72.3,Munster,542868
2,Galway,6149,42,Connacht,258058
3,Mayo,5586,23.3,Connacht,130507
4,Donegal,4861,32.6,Ulster,159192
5,Kerry,4807,30.7,Munster,147707
6,Tipperary,4305,37.2,Munster,159553
7,Clare,3450,34.4,Munster,118817
8,Tyrone,3263,54.5,Ulster,179000
9,Antrim,3046,202.9,Ulster,618108
10,Limerick,2756,70.8,Munster,194899
11,Roscommon,2548,25.3,Connacht,64544
12,Down,2466,215.6,Ulster,531665
13,Wexford,2367,63.2,Leinster,149722
14,Meath,2342,83.2,Leinster,195044
15,Derry,2075,119.1,Ulster,247132
16,Kilkenny,2073,47.8,Leinster,99232
17,Wicklow,2027,70.2,Leinster,142425
18,Offaly,2001,38.9,Leinster,77961
19,Cavan,1932,39.3,Ulster,76176
20,Waterford,1857,62.7,Munster,99232
21,Westmeath,1840,48.2,Leinster,88770
22,Sligo,1838,35.5,Connacht,65535
23,Laois,1720,49.3,Leinster,84697
24,Kildare,1695,131,Leinster,222504
25,Fermanagh,1691,36.1,Ulster,61170
26,Leitrim,1590,20.1,Connacht,32044
27,Armagh,1326,131.8,Ulster,174792
28,Monaghan,1295,47.3,Ulster,61386
29,Longford,1091,37.4,Leinster,40873
30,Dublin,922,1459.2,Leinster,2140164
31,Carlow,897,63.4,Leinster,56932
32,Louth,826,155.4,Leinster,128884